,Tweet,Affect Dimension,emojis,Emoji Sentiment,puretext,c_emojis,stweets
20654,embarrassed saw like n waving cheerfully inviting  😩 ,1,😩,-1.0,embarrassed saw like n waving cheerfully inviting   ,😩,embarrassed saw like n waving cheerfully inviting   😩  
20675,i get up and dance bed everyone wake  😯  hyper happy,1,😯,0.0,i get up and dance bed everyone wake    hyper happy,,i get up and dance bed everyone wake   😯   hyper happy
20677,excited nat tonight and happy cheery excited social media  😍 ,1,😍,1.0,excited nat tonight and happy cheery excited social media   ,😍,excited nat tonight and happy cheery excited social media   😍  
20714, 🎉  it time joyous celebration  🎉 ,1,🎉 🎉,0.0,   it time joyous celebration   ,,  🎉   it time joyous celebration   🎉  
20735,took long time spot goal  ☺️ ,1,☺,0.0,took long time spot goal  ️ ,☺,took long time spot goal   ☺ ️ 
20781,my ukulele bag fallen apart  😐  at least life,1,😐,0.0,my ukulele bag fallen apart    at least life,😐,my ukulele bag fallen apart   😐   at least life
20788,best film hilarious good funny  🙌 ,1,🙌,0.0,best film hilarious good funny   ,,best film hilarious good funny   🙌  
20808,i send ya playful  😉 ,1,😉,0.5,i send ya playful   ,😉,i send ya playful   😉  
20844,glad cheery looking happy meal  😊 ,1,😊,0.5,glad cheery looking happy meal   ,😊,glad cheery looking happy meal   😊  
20853,sweet playful  😍 ,1,😍,1.0,sweet playful   ,😍,sweet playful   😍  
20872,lady hello yep true story winning cheer  ❤ ,1,❤,0.125,lady hello yep true story winning cheer   ,❤,lady hello yep true story winning cheer   ❤  
20929,so happy class od tired  😭 ,1,😭,-1.0,so happy class od tired   ,😭,so happy class od tired   😭  
20937,i love playful  🚗   🚕   🚙 ,1,🚗 🚕 🚙,0.0,i love playful         ,,i love playful   🚗     🚕     🚙  
20950,sparkling like gay vampire  😁 ,1,😁,1.0,sparkling like gay vampire   ,😁,sparkling like gay vampire   😁  
20956,took long time spot goal  ☺️  pleasing,1,☺,0.0,took long time spot goal  ️  pleasing,☺,took long time spot goal   ☺ ️  pleasing
20968,i you night  😘 ,1,😘,0.5,i you night   ,😘,i you night   😘  
20976,like i said  ➡  theres plenty cheese for  ☺  smile,1,➡ ☺,0.0,like i said    theres plenty cheese for    smile,☺,like i said   ➡   theres plenty cheese for   ☺   smile
20988,accept literally feel exhilaration victory s  🐶 ,1,🐶,0.0,accept literally feel exhilaration victory s   ,,accept literally feel exhilaration victory s   🐶  
21017,big thanks brad trashy ways brought modicum levity lame week political  💤 ,1,💤,0.0,big thanks brad trashy ways brought modicum levity lame week political   ,,big thanks brad trashy ways brought modicum levity lame week political   💤  
21050,what lively lovely shower  😇 ,1,😇,0.5,what lively lovely shower   ,😇,what lively lovely shower   😇  
21056, 😳 ,1,😳,0.0,  ,,  😳  
21103,appreciate enjoy life smile  😃  help use theirs  ☺️ ,1,😃 ☺,0.5,appreciate enjoy life smile    help use theirs  ️ ,😃 ☺,appreciate enjoy life smile   😃   help use theirs   ☺ ️ 
21138,i feel blessed work family i nanny  ❤️  love appreciation smile,1,❤,0.0,i feel blessed work family i nanny  ️  love appreciation smile,❤,i feel blessed work family i nanny   ❤ ️  love appreciation smile
21155,youve absolutely later crying laughter  🤓 ,1,🤓,0.5,youve absolutely later crying laughter   ,,youve absolutely later crying laughter   🤓  
21182,why i watching glee week i addicted  🙄  gleek,1,🙄,-0.5,why i watching glee week i addicted    gleek,,why i watching glee week i addicted   🙄   gleek
21201,if ability happy smile the world needs right  ☺️ ,1,☺,0.0,if ability happy smile the world needs right  ️ ,☺,if ability happy smile the world needs right   ☺ ️ 
21204,is slutty hater girl that video hilarious  😂 ,1,😂,1.0,is slutty hater girl that video hilarious   ,😂,is slutty hater girl that video hilarious   😂  
21209,exhilarating feeling i love helping people  😌 ,1,😌,0.5,exhilarating feeling i love helping people   ,😌,exhilarating feeling i love helping people   😌  
21224,just attempt levity  😉 ,1,😉,0.5,just attempt levity   ,😉,just attempt levity   😉  
21234,half day glee  😭 ,1,😭,-1.0,half day glee   ,😭,half day glee   😭  
21241,happy  👌🏻 ,1,👌 🏻,0.0,happy   ,,happy   👌  🏻  
21244,baby bloody hilarious  😅 ,1,😅,1.0,baby bloody hilarious   ,😅,baby bloody hilarious   😅  
21265,not fault observant thought  😜  sorry  😝  wisdom laughter  😎 ,1,😜 😝 😎,0.6666666666666666,not fault observant thought    sorry    wisdom laughter   ,😜 😝 😎,not fault observant thought   😜   sorry   😝   wisdom laughter   😎  
21321,cheer cheer  ❤️ ,1,❤,0.0,cheer cheer  ️ ,❤,cheer cheer   ❤ ️ 
21323, ♥  princess fitness haircut,1,♥,0.0,   princess fitness haircut,♥,  ♥   princess fitness haircut
21325,who actually drink sparkling water  🤔 ,1,🤔,0.0,who actually drink sparkling water   ,,who actually drink sparkling water   🤔  
21342,its exhilarating feeling working hard feeling accomplished notice feel good  🤑 ,1,🤑,0.5,its exhilarating feeling working hard feeling accomplished notice feel good   ,,its exhilarating feeling working hard feeling accomplished notice feel good   🤑  
21353,miss caramel delight  💓 ,1,💓,0.0,miss caramel delight   ,,miss caramel delight   💓  
21369,exhilarating looking forward seeing  👍🏼 ,1,👍 🏼,0.0,exhilarating looking forward seeing   ,,exhilarating looking forward seeing   👍  🏼  
21404,my ukulele bag fallen apart  😐  at least life,1,😐,0.0,my ukulele bag fallen apart    at least life,😐,my ukulele bag fallen apart   😐   at least life
21438,definitely  😂  glee,1,😂,1.0,definitely    glee,😂,definitely   😂   glee
21463,what went  😂  levity,1,😂,1.0,what went    levity,😂,what went   😂   levity
21465,been waiting week game cheer  ❤️ ,1,❤,0.0,been waiting week game cheer  ️ ,❤,been waiting week game cheer   ❤ ️ 
21477,raising hope time totally forgot hilarious  😂 ,1,😂,1.0,raising hope time totally forgot hilarious   ,😂,raising hope time totally forgot hilarious   😂  
21485,funny left phone happy  😊 ,1,😊,0.5,funny left phone happy   ,😊,funny left phone happy   😊  
21496,thought day thought smile making smile  💚 ,1,💚,0.0,thought day thought smile making smile   ,,thought day thought smile making smile   💚  
21506,u attitude tho  😕  cheer,1,😕,-0.5,u attitude tho    cheer,😕,u attitude tho   😕   cheer
21525,but ill pity  🐑  lively,1,🐑,0.0,but ill pity    lively,,but ill pity   🐑   lively
21529,but ill pity  🐑 ,1,🐑,0.0,but ill pity   ,,but ill pity   🐑  
21530,chirp chirp beautiful white red bird  🐦 ,1,🐦,0.0,chirp chirp beautiful white red bird   ,,chirp chirp beautiful white red bird   🐦  
21560,it heart seeing people upset i try best smile cheer  🤗 ,1,🤗,0.5,it heart seeing people upset i try best smile cheer   ,,it heart seeing people upset i try best smile cheer   🤗  
21597,got new break name animated series ill draw style  🖍 ,1,🖍,0.0,got new break name animated series ill draw style   ,,got new break name animated series ill draw style   🖍  
21612,sick grumpy thing thats cheer food going  😢 ,1,😢,-1.0,sick grumpy thing thats cheer food going   ,😢,sick grumpy thing thats cheer food going   😢  
21643,thanks paper watch hilarious video  😂 ,1,😂,1.0,thanks paper watch hilarious video   ,😂,thanks paper watch hilarious video   😂  
21660,bright  ✨ ,1,✨,0.0,bright   ,,bright   ✨  
21667,job interview tomorrow  😎  bright,1,😎,1.0,job interview tomorrow    bright,😎,job interview tomorrow   😎   bright
21691,my ukulele bag fallen apart  😐  at least life optimism,1,😐,0.0,my ukulele bag fallen apart    at least life optimism,😐,my ukulele bag fallen apart   😐   at least life optimism
21695,had look phone cheerfully oh look getting death  🙄  then goes,1,🙄,-0.5,had look phone cheerfully oh look getting death    then goes,,had look phone cheerfully oh look getting death   🙄   then goes
21703,crew what gorgeous bunch  ❤️  lively exciting  💪🏼 ,1,❤ 💪 🏼,0.0,crew what gorgeous bunch  ️  lively exciting   ,❤,crew what gorgeous bunch   ❤ ️  lively exciting   💪  🏼  
21707,welcome good face twitter feed cheery hello  😀 ,1,😀,1.0,welcome good face twitter feed cheery hello   ,😀,welcome good face twitter feed cheery hello   😀  
21713,wonder kelvin smiling  😍 ,1,😍,1.0,wonder kelvin smiling   ,😍,wonder kelvin smiling   😍  
21740,north exhilarating hockey watched  😅  wow silky,1,😅,1.0,north exhilarating hockey watched    wow silky,😅,north exhilarating hockey watched   😅   wow silky
21756,like i said  ➡  theres plenty cheese for  ☺ ,1,➡ ☺,0.0,like i said    theres plenty cheese for   ,☺,like i said   ➡   theres plenty cheese for   ☺  
21762,pencil today havent  ✏️  exhilarating,1,✏,0.0,pencil today havent  ️  exhilarating,,pencil today havent   ✏ ️  exhilarating
21809,what smiling like sent coupon  😬 ,1,😬,-0.5,what smiling like sent coupon   ,😬,what smiling like sent coupon   😬  
21812,i best world  😍  blessed,1,😍,1.0,i best world    blessed,😍,i best world   😍   blessed
21813,the golden temple beautiful  😍 ,1,😍,1.0,the golden temple beautiful   ,😍,the golden temple beautiful   😍  
21816,marker n burst laughing swear seriously  🤦🏻‍♀️ ,1,🤦 🏻 ♀,0.0,marker n burst laughing swear seriously  ‍️ ,,marker n burst laughing swear seriously   🤦  🏻 ‍ ♀ ️ 
21818,three dumb fox original tweet blatant lie wretched offspring  🤣 ,1,🤣,1.0,three dumb fox original tweet blatant lie wretched offspring   ,,three dumb fox original tweet blatant lie wretched offspring   🤣  
21821,night king  😂 ,1,😂,1.0,night king   ,😂,night king   😂  
21829,that eclipse angelic  🙏🏿  blessing,1,🙏 🏿,0.0,that eclipse angelic    blessing,,that eclipse angelic   🙏  🏿   blessing
21831, 😭  good bye dear pleasure,1,😭,-1.0,   good bye dear pleasure,😭,  😭   good bye dear pleasure
21837,birth control floor cause carpet  🙃  joy,1,🙃,0.5,birth control floor cause carpet    joy,,birth control floor cause carpet   🙃   joy
21852,better  😆 ,1,😆,1.0,better   ,😆,better   😆  
21857,i came damn boy stayed great actual job  👍🏾 ,1,👍 🏾,0.0,i came damn boy stayed great actual job   ,,i came damn boy stayed great actual job   👍  🏾  
21858,today  😀 ,1,😀,1.0,today   ,😀,today   😀  
21860,when meet interview streets  🙆  i dont know whats  😂 ,1,🙆 😂,0.5,when meet interview streets    i dont know whats   ,😂,when meet interview streets   🙆   i dont know whats   😂  
21866,seeing perfect  😊 ,1,😊,0.5,seeing perfect   ,😊,seeing perfect   😊  
21873,list war for the planet the  😍  excited,1,😍,1.0,list war for the planet the    excited,😍,list war for the planet the   😍   excited
21874,got forward i want source teach  🤣 ,1,🤣,1.0,got forward i want source teach   ,,got forward i want source teach   🤣  
21876,coffee good view better  😊 ,1,😊,0.5,coffee good view better   ,😊,coffee good view better   😊  
21877,this great looking forward  😄 ,1,😄,1.0,this great looking forward   ,😄,this great looking forward   😄  
21881, ♥  topping muffin food delicious happy dessert chocolate cake,1,♥,0.0,   topping muffin food delicious happy dessert chocolate cake,♥,  ♥   topping muffin food delicious happy dessert chocolate cake
21890,thanks early morning laughter  ❤ ,1,❤,0.0,thanks early morning laughter   ,❤,thanks early morning laughter   ❤  
21894,energetic act blessing disguise  🙏  prolific  🙏 ,1,🙏 🙏,0.0,energetic act blessing disguise    prolific   ,,energetic act blessing disguise   🙏   prolific   🙏  
21895,so lots pretty sugar i mean willing try sure i understand point  😅 ,1,😅,1.0,so lots pretty sugar i mean willing try sure i understand point   ,😅,so lots pretty sugar i mean willing try sure i understand point   😅  
21900,i need study heart stopped i saw ford  😯  relieved,1,😯,0.0,i need study heart stopped i saw ford    relieved,,i need study heart stopped i saw ford   😯   relieved
21910,mood happy  🙂  blessing,1,🙂,0.5,mood happy    blessing,,mood happy   🙂   blessing
21911,maybe evening i  😀 ,1,😀,1.0,maybe evening i   ,😀,maybe evening i   😀  
21914, 😃 ,1,😃,1.0,  ,😃,  😃  
21917,no need thank telling like  😊  hope great day  😃 ,1,😊 😃,0.75,no need thank telling like    hope great day   ,😊 😃,no need thank telling like   😊   hope great day   😃  
21919,i try  😂  excitement,1,😂,1.0,i try    excitement,😂,i try   😂   excitement
21922,only i talking catfish tinder glad i dont use seriously  🤣 ,1,🤣,0.6666666666666666,only i talking catfish tinder glad i dont use seriously   ,,only i talking catfish tinder glad i dont use seriously   🤣  
21932,i hope amazing day love u  😃 ,1,😃,0.5,i hope amazing day love u   ,😃,i hope amazing day love u   😃  
21933,whats panic  😃 ,1,😃,1.0,whats panic   ,😃,whats panic   😃  
21943,what dont want watch content cant vote  😆 ,1,😆,1.0,what dont want watch content cant vote   ,😆,what dont want watch content cant vote   😆  
21945,hi hope friend love kat  😀 ,1,😀,1.0,hi hope friend love kat   ,😀,hi hope friend love kat   😀  
21950,happy prime day  😆 ,1,😆,1.0,happy prime day   ,😆,happy prime day   😆  
21953,bedtime after listen album transformer full days enjoyment  💿   🎶  x,1,💿 🎶,0.0,bedtime after listen album transformer full days enjoyment       x,,bedtime after listen album transformer full days enjoyment   💿     🎶   x
21954,no  😊 ,1,😊,0.5,no   ,😊,no   😊  
21955, 🍕 ,1,🍕,0.0,  ,,  🍕  
21964,grateful education school days exhausted breaking  😍 ,1,😍,1.0,grateful education school days exhausted breaking   ,😍,grateful education school days exhausted breaking   😍  
21965,i happy hear you write thank  💞 ,1,💞,0.0,i happy hear you write thank   ,,i happy hear you write thank   💞  
21967,the moon tonight  😮  beautiful,1,😮,0.0,the moon tonight    beautiful,,the moon tonight   😮   beautiful
21972,happy birthday good  😘  x,1,😘,1.0,happy birthday good    x,😘,happy birthday good   😘   x
21974,i happier life right  😊 ,1,😊,0.5,i happier life right   ,😊,i happier life right   😊  
21978,till i feeling  😆 ,1,😆,1.0,till i feeling   ,😆,till i feeling   😆  
21988,excited hope  😊 ,1,😊,0.5,excited hope   ,😊,excited hope   😊  
21993,i force money  😀 ,1,😀,1.0,i force money   ,😀,i force money   😀  
21994,damn tired hell i day week  😭  i bad good,1,😭,-1.0,damn tired hell i day week    i bad good,😭,damn tired hell i day week   😭   i bad good
21997,wonderful wish cock tho  😍 ,1,😍,1.0,wonderful wish cock tho   ,😍,wonderful wish cock tho   😍  
21999,my pleasure  😊 ,1,😊,0.5,my pleasure   ,😊,my pleasure   😊  
22001,asleep i i got meeting let vent way home  😍  sweetness,1,😍,1.0,asleep i i got meeting let vent way home    sweetness,😍,asleep i i got meeting let vent way home   😍   sweetness
22002,never  😆 ,1,😆,1.0,never   ,😆,never   😆  
22006,cant wait family excited start fun  👨‍👩‍👧 ,1,👨 👩 👧,-0.1666666666666666,cant wait family excited start fun  ‍‍ ,,cant wait family excited start fun   👨 ‍ 👩 ‍ 👧  
22007,beautiful  😘 ,1,😘,1.0,beautiful   ,😘,beautiful   😘  
22009,perfectly recall amazing fortunate experience live  😘 ,1,😘,1.0,perfectly recall amazing fortunate experience live   ,😘,perfectly recall amazing fortunate experience live   😘  
22012,keep smiling  ❤️ ,1,❤,0.0,keep smiling  ️ ,❤,keep smiling   ❤ ️ 
22013,soon trailer  😆 ,1,😆,1.0,soon trailer   ,😆,soon trailer   😆  
22017,funny  😂  that pizza segment plus i love friendship,1,😂,1.0,funny    that pizza segment plus i love friendship,😂,funny   😂   that pizza segment plus i love friendship
22020,hello welcome deeply sorry late greeting  😥  wishing pleasant,1,😥,-0.25,hello welcome deeply sorry late greeting    wishing pleasant,😥,hello welcome deeply sorry late greeting   😥   wishing pleasant
22023, 😆 ,1,😆,1.0,  ,😆,  😆  
22033,had delete  🤣 ,1,🤣,1.0,had delete   ,,had delete   🤣  
22040, 🎉   🎂   🎈 ,1,🎉 🎂 🎈,0.0,        ,,  🎉     🎂     🎈  
22041,because wrong want believe  🙃 ,1,🙃,0.5,because wrong want believe   ,,because wrong want believe   🙃  
22044,eating skin sent tannery leather  😄 ,1,😄,1.0,eating skin sent tannery leather   ,😄,eating skin sent tannery leather   😄  
22048,i curious falling hero  😆  watching soon,1,😆,0.8333333333333334,i curious falling hero    watching soon,😆,i curious falling hero   😆   watching soon
22051, 😆 ,1,😆,1.0,  ,😆,  😆  
22065,if i hit blessed  😂 ,1,😂,1.0,if i hit blessed   ,😂,if i hit blessed   😂  
22066,wow i hope win  😭  thanks  😊 ,1,😭 😊,-0.25,wow i hope win    thanks   ,😭 😊,wow i hope win   😭   thanks   😊  
22073,day great  🙃  mocha machine wasnt working,1,🙃,0.5,day great    mocha machine wasnt working,,day great   🙃   mocha machine wasnt working
22077,follow love universal day  😘 ,1,😘,0.5,follow love universal day   ,😘,follow love universal day   😘  
22078,will i not tired this second  🙃  grateful,1,🙃,0.5,will i not tired this second    grateful,,will i not tired this second   🙃   grateful
22080,happy birthday wishing u lots success  🌸   😍 ,1,🌸 😍,0.2,happy birthday wishing u lots success      ,😍,happy birthday wishing u lots success   🌸     😍  
22081,but free planner i dont think  😤 ,1,😤,-1.0,but free planner i dont think   ,😤,but free planner i dont think   😤  
22086,well  😀 ,1,😀,1.0,well   ,😀,well   😀  
22087,need help  😊  survey friend,1,😊,0.5,need help    survey friend,😊,need help   😊   survey friend
22088,dont creepy handsome adorable shark  😭  like shark,1,😭,-1.0,dont creepy handsome adorable shark    like shark,😭,dont creepy handsome adorable shark   😭   like shark
22091, 😂  snowflake random funny man dull moment brilliant,1,😂,1.0,   snowflake random funny man dull moment brilliant,😂,  😂   snowflake random funny man dull moment brilliant
22092,experience let know i send magical delightful  😊 ,1,😊,0.25,experience let know i send magical delightful   ,😊,experience let know i send magical delightful   😊  
22094,last making lose heartbreaking channel size nearly soon  😀 ,1,😀,1.0,last making lose heartbreaking channel size nearly soon   ,😀,last making lose heartbreaking channel size nearly soon   😀  
22116,when sadness leaves broken bed i hold despair love  🎶 ,2,🎶,0.0,when sadness leaves broken bed i hold despair love   ,,when sadness leaves broken bed i hold despair love   🎶  
22124,distant mourn  😪 ,2,😪,-0.5,distant mourn   ,😪,distant mourn   😪  
22125,being airport depressing watching cute people coming  ✈️ ,2,✈,0.0,being airport depressing watching cute people coming  ️ ,,being airport depressing watching cute people coming   ✈ ️ 
22132,i celebrate mourn cause test week busy  😕 ,2,😕,-0.5,i celebrate mourn cause test week busy   ,😕,i celebrate mourn cause test week busy   😕  
22157,please bear twitter real life person help gain  🤓 ,2,🤓,0.5,please bear twitter real life person help gain   ,,please bear twitter real life person help gain   🤓  
22172,very depressing seeing fam holiday tomorrow  🙃 ,2,🙃,0.5,very depressing seeing fam holiday tomorrow   ,,very depressing seeing fam holiday tomorrow   🙃  
22198,even stayed end  ⚫   😞 ,2,⚫ 😞,-0.3333333333333333,even stayed end      ,,even stayed end   ⚫     😞  
22226,seeing hurt past single sign grieve  ✨ ,2,✨,0.0,seeing hurt past single sign grieve   ,,seeing hurt past single sign grieve   ✨  
22229,ni like sadly thats shed  😢 ,2,😢,-1.0,ni like sadly thats shed   ,😢,ni like sadly thats shed   😢  
22251,seeing old wife mourn loss year old daughter seen  😢 ,2,😢,-1.0,seeing old wife mourn loss year old daughter seen   ,😢,seeing old wife mourn loss year old daughter seen   😢  
22273,gloomy day bed watching covering relaxed happy  😋 ,2,😋,0.5,gloomy day bed watching covering relaxed happy   ,😋,gloomy day bed watching covering relaxed happy   😋  
22313,sam holding tee like got droop  😂 ,2,😂,1.0,sam holding tee like got droop   ,😂,sam holding tee like got droop   😂  
22324,i feel like burden day i waste i dont know i i lay  🙃 ,2,🙃,0.5,i feel like burden day i waste i dont know i i lay   ,,i feel like burden day i waste i dont know i i lay   🙃  
22328,opinion oligodendroglioma  ❤️ ,2,❤,0.0,opinion oligodendroglioma  ️ ,❤,opinion oligodendroglioma   ❤ ️ 
22331,point i thought twitter got dull  😂  lamination,2,😂,1.0,point i thought twitter got dull    lamination,😂,point i thought twitter got dull   😂   lamination
22335,yeah want obese  😅  i afford i dont think,2,😅,1.0,yeah want obese    i afford i dont think,😅,yeah want obese   😅   i afford i dont think
22374,when lose somebody close heart lose  💔 ,2,💔,0.0,when lose somebody close heart lose   ,💔,when lose somebody close heart lose   💔  
22427,the weather sunny bright gloomy time match afternoon mood  😒 ,2,😒,-0.5,the weather sunny bright gloomy time match afternoon mood   ,,the weather sunny bright gloomy time match afternoon mood   😒  
22439,but when come situation i glad i gave deep thought  💯 ,2,💯,0.0,but when come situation i glad i gave deep thought   ,,but when come situation i glad i gave deep thought   💯  
22442,he retired ago blues  😊 ,2,😊,0.5,he retired ago blues   ,😊,he retired ago blues   😊  
22450,the depressing ill taste goes  😫 ,2,😫,-1.0,the depressing ill taste goes   ,😫,the depressing ill taste goes   😫  
22462,wow housing market depressing buy range  😢 ,2,😢,-1.0,wow housing market depressing buy range   ,😢,wow housing market depressing buy range   😢  
22504,like unhappy leave dont cheat view love  💯 ,2,💯,0.0,like unhappy leave dont cheat view love   ,,like unhappy leave dont cheat view love   💯  
22518,back amazing days away  😭  depressing,2,😭,-1.0,back amazing days away    depressing,😭,back amazing days away   😭   depressing
22520,understand pessimism  😂 ,2,😂,1.0,understand pessimism   ,😂,understand pessimism   😂  
22581,dont quit place ultimate strength i start feel weary  💪🏾 ,2,💪 🏾,0.0,dont quit place ultimate strength i start feel weary   ,,dont quit place ultimate strength i start feel weary   💪  🏾  
22586,what grim night  🔥 ,2,🔥,0.0,what grim night   ,,what grim night   🔥  
22589,sure half slip sad  😂 ,2,😂,1.0,sure half slip sad   ,😂,sure half slip sad   😂  
22598,cold dark nights slowly creeping  🌌 ,2,🌌,0.0,cold dark nights slowly creeping   ,,cold dark nights slowly creeping   🌌  
22611,can i sulk peace  😂 ,2,😂,1.0,can i sulk peace   ,😂,can i sulk peace   😂  
22626,if anybody needs ill blues sea whiskey  🍻 ,2,🍻,0.0,if anybody needs ill blues sea whiskey   ,,if anybody needs ill blues sea whiskey   🍻  
22635,when doe run opposite  🙁  depression,2,🙁,-0.5,when doe run opposite    depression,,when doe run opposite   🙁   depression
22652,anyway car furious white men i funny story tell sober  😂 ,2,😂,1.0,anyway car furious white men i funny story tell sober   ,😂,anyway car furious white men i funny story tell sober   😂  
22683,distraught  😭  pout piss,2,😭,-1.0,distraught    pout piss,😭,distraught   😭   pout piss
22717,this hurting heart  😪  thats,2,😪,-0.5,this hurting heart    thats,😪,this hurting heart   😪   thats
22730,way hold  😊  depressing,2,😊,0.5,way hold    depressing,😊,way hold   😊   depressing
22737,thought i pretty solid kin major i look average i feel  😪 ,2,😪,-0.5,thought i pretty solid kin major i look average i feel   ,😪,thought i pretty solid kin major i look average i feel   😪  
22766,depressing hey  😑 ,2,😑,0.0,depressing hey   ,😑,depressing hey   😑  
22768,well stomach spin class easier why body hate porridge  😩  spinning sulk,2,😩,-1.0,well stomach spin class easier why body hate porridge    spinning sulk,😩,well stomach spin class easier why body hate porridge   😩   spinning sulk
22821,blues blues  🤔 ,2,🤔,0.0,blues blues   ,,blues blues   🤔  
22876,oh goodness loving rainy day its head creative cap lost kind day  💭   ☺️  art create biz,2,💭 ☺,0.0,oh goodness loving rainy day its head creative cap lost kind day     ️  art create biz,☺,oh goodness loving rainy day its head creative cap lost kind day   💭     ☺ ️  art create biz
22881,age times beautiful sad  😂 ,2,😂,1.0,age times beautiful sad   ,😂,age times beautiful sad   😂  
22882, 🤓  dont sad good night sleep,2,🤓,0.5,   dont sad good night sleep,,  🤓   dont sad good night sleep
22909,red look super pretty bronzy nude lip look black pretty dark lip  😍 ,2,😍,1.0,red look super pretty bronzy nude lip look black pretty dark lip   ,😍,red look super pretty bronzy nude lip look black pretty dark lip   😍  
22918,totally when youve said times week lost but linear  😘 ,2,😘,1.0,totally when youve said times week lost but linear   ,😘,totally when youve said times week lost but linear   😘  
22925,my cell wont hold charge  😢  sadness so i,2,😢,-1.0,my cell wont hold charge    sadness so i,😢,my cell wont hold charge   😢   sadness so i
22939,stop mournful chill  💁 ,2,💁,0.0,stop mournful chill   ,,stop mournful chill   💁  
22943,i thats i didnt like  😂  comes patchy its dark color i tho,2,😂,1.0,i thats i didnt like    comes patchy its dark color i tho,😂,i thats i didnt like   😂   comes patchy its dark color i tho
22955,honestly depression kicking ass lately  😔 ,2,😔,-1.0,honestly depression kicking ass lately   ,😔,honestly depression kicking ass lately   😔  
22959,turn frown upside buddy  🙃 ,2,🙃,0.5,turn frown upside buddy   ,,turn frown upside buddy   🙃  
22961,blues rock soul passion  🎶 ,2,🎶,0.0,blues rock soul passion   ,,blues rock soul passion   🎶  
23011,song ni sober  😂 ,2,😂,1.0,song ni sober   ,😂,song ni sober   😂  
23028,very long day thank goodness bake off brighten weary  ☺ ,2,☺,0.0,very long day thank goodness bake off brighten weary   ,☺,very long day thank goodness bake off brighten weary   ☺  
23050,well hear men look like dad  👌 ,2,👌,0.0,well hear men look like dad   ,,well hear men look like dad   👌  
23066,should stayed  😞 ,2,😞,-1.0,should stayed   ,,should stayed   😞  
23068,sunk seeing  🐐  wow,2,🐐,-0.3333333333333333,sunk seeing    wow,,sunk seeing   🐐   wow
23091,as i lost heart dark underneath  🎧 ,2,🎧,0.0,as i lost heart dark underneath   ,,as i lost heart dark underneath   🎧  
23149,its begun ladies the war racism begun sadness segregation  😒 ,2,😒,-0.5,its begun ladies the war racism begun sadness segregation   ,,its begun ladies the war racism begun sadness segregation   😒  
23152,she pout  😍 ,2,😍,1.0,she pout   ,😍,she pout   😍  
23180,i love big family theres dull moment house  😂 ,2,😂,1.0,i love big family theres dull moment house   ,😂,i love big family theres dull moment house   😂  
23197,depress  😭 ,2,😭,-1.0,depress   ,😭,depress   😭  
23200,who need  🚨 ,2,🚨,0.0,who need   ,,who need   🚨  
23214,well hear men look like dad  👌 ,2,👌,0.0,well hear men look like dad   ,,well hear men look like dad   👌  
23246, 😭  so got taking sweet time the market stupid tho,2,😭,-1.0,   so got taking sweet time the market stupid tho,😭,  😭   so got taking sweet time the market stupid tho
23247,hard dont sinking i despair  😩 ,2,😩,-1.0,hard dont sinking i despair   ,😩,hard dont sinking i despair   😩  
23302,henny pine  🤔 ,2,🤔,0.0,henny pine   ,,henny pine   🤔  
23310,dad i function today little know i stayed sober night faced tonight  😅 ,2,😅,1.0,dad i function today little know i stayed sober night faced tonight   ,😅,dad i function today little know i stayed sober night faced tonight   😅  
23318,fashion week year dull someone inspire  😩 ,2,😩,-1.0,fashion week year dull someone inspire   ,😩,fashion week year dull someone inspire   😩  
23319,oh sorry  😂 ,2,😂,1.0,oh sorry   ,😂,oh sorry   😂  
23385,when lose somebody close heart lose  💔  lost,2,💔,0.0,when lose somebody close heart lose    lost,💔,when lose somebody close heart lose   💔   lost
23420,twitter depressing like negative think i  😕 ,2,😕,-0.5,twitter depressing like negative think i   ,😕,twitter depressing like negative think i   😕  
23425,keeping dismal season  💕 ,2,💕,0.0,keeping dismal season   ,💕,keeping dismal season   💕  
23429,some sedate  💕 ,2,💕,0.0,some sedate   ,💕,some sedate   💕  
23446,nothing possibly damper day ass breath  😿 ,2,😿,-1.0,nothing possibly damper day ass breath   ,😿,nothing possibly damper day ass breath   😿  
23491,confused type entire word  😜  see i laugh my hour sadness,2,😜,0.5,confused type entire word    see i laugh my hour sadness,😜,confused type entire word   😜   see i laugh my hour sadness
23495,those times i thought i sober but his grace  🙏🏾 ,2,🙏 🏾,0.0,those times i thought i sober but his grace   ,,those times i thought i sober but his grace   🙏  🏾  
23513,senior year early dismal work study boss know  🙃 ,2,🙃,0.5,senior year early dismal work study boss know   ,,senior year early dismal work study boss know   🙃  
23535,when doe run opposite  🙁 ,2,🙁,-0.5,when doe run opposite   ,,when doe run opposite   🙁  
23557,a tummy steak wine key lime pine tap what way turn stressful  💛 ,2,💛,0.0,a tummy steak wine key lime pine tap what way turn stressful   ,,a tummy steak wine key lime pine tap what way turn stressful   💛  
23585,blues home away semi i love away days being home  ⚽ ,2,⚽,0.0,blues home away semi i love away days being home   ,,blues home away semi i love away days being home   ⚽  
23586,i i dont  😈  dark,2,😈,-1.0,i i dont    dark,,i i dont   😈   dark
