,Tweet,stweets,puretext,emojis,c_emojis,Affect Dimension
20677,excited nat tonight and happy cheery excited social media  😍 ,excited nat tonight and happy cheery excited social media   😍  ,excited nat tonight and happy cheery excited social media   ,😍,😍,1
20714, 🎉  it time joyous celebration  🎉 ,  🎉   it time joyous celebration   🎉  ,   it time joyous celebration   ,🎉 🎉,,1
20735,took long time spot goal  ☺️ ,took long time spot goal   ☺ ️ ,took long time spot goal  ️ ,☺,☺,1
20781,my ukulele bag fallen apart  😐  at least life,my ukulele bag fallen apart   😐   at least life,my ukulele bag fallen apart    at least life,😐,😐,1
20788,best film hilarious good funny  🙌 ,best film hilarious good funny   🙌  ,best film hilarious good funny   ,🙌,,1
20808,i send ya playful  😉 ,i send ya playful   😉  ,i send ya playful   ,😉,😉,1
20844,glad cheery looking happy meal  😊 ,glad cheery looking happy meal   😊  ,glad cheery looking happy meal   ,😊,😊,1
20853,sweet playful  😍 ,sweet playful   😍  ,sweet playful   ,😍,😍,1
20872,lady hello yep true story winning cheer  ❤ ,lady hello yep true story winning cheer   ❤  ,lady hello yep true story winning cheer   ,❤,❤,1
20929,so happy class od tired  😭 ,so happy class od tired   😭  ,so happy class od tired   ,😭,😭,1
20937,i love playful  🚗   🚕   🚙 ,i love playful   🚗     🚕     🚙  ,i love playful         ,🚗 🚕 🚙,,1
20950,sparkling like gay vampire  😁 ,sparkling like gay vampire   😁  ,sparkling like gay vampire   ,😁,😁,1
20956,took long time spot goal  ☺️  pleasing,took long time spot goal   ☺ ️  pleasing,took long time spot goal  ️  pleasing,☺,☺,1
20968,i you night  😘 ,i you night   😘  ,i you night   ,😘,😘,1
20976,like i said  ➡  theres plenty cheese for  ☺  smile,like i said   ➡   theres plenty cheese for   ☺   smile,like i said    theres plenty cheese for    smile,➡ ☺,☺,1
20988,accept literally feel exhilaration victory s  🐶 ,accept literally feel exhilaration victory s   🐶  ,accept literally feel exhilaration victory s   ,🐶,,1
21017,big thanks brad trashy ways brought modicum levity lame week political  💤 ,big thanks brad trashy ways brought modicum levity lame week political   💤  ,big thanks brad trashy ways brought modicum levity lame week political   ,💤,,1
21050,what lively lovely shower  😇 ,what lively lovely shower   😇  ,what lively lovely shower   ,😇,😇,1
21056, 😳 ,  😳  ,  ,😳,,1
21103,appreciate enjoy life smile  😃  help use theirs  ☺️ ,appreciate enjoy life smile   😃   help use theirs   ☺ ️ ,appreciate enjoy life smile    help use theirs  ️ ,😃 ☺,😃 ☺,1
21138,i feel blessed work family i nanny  ❤️  love appreciation smile,i feel blessed work family i nanny   ❤ ️  love appreciation smile,i feel blessed work family i nanny  ️  love appreciation smile,❤,❤,1
21155,youve absolutely later crying laughter  🤓 ,youve absolutely later crying laughter   🤓  ,youve absolutely later crying laughter   ,🤓,,1
21182,why i watching glee week i addicted  🙄  gleek,why i watching glee week i addicted   🙄   gleek,why i watching glee week i addicted    gleek,🙄,,1
21201,if ability happy smile the world needs right  ☺️ ,if ability happy smile the world needs right   ☺ ️ ,if ability happy smile the world needs right  ️ ,☺,☺,1
21204,is slutty hater girl that video hilarious  😂 ,is slutty hater girl that video hilarious   😂  ,is slutty hater girl that video hilarious   ,😂,😂,1
21209,exhilarating feeling i love helping people  😌 ,exhilarating feeling i love helping people   😌  ,exhilarating feeling i love helping people   ,😌,😌,1
21224,just attempt levity  😉 ,just attempt levity   😉  ,just attempt levity   ,😉,😉,1
21234,half day glee  😭 ,half day glee   😭  ,half day glee   ,😭,😭,1
21241,happy  👌🏻 ,happy   👌  🏻  ,happy   ,👌 🏻,,1
21244,baby bloody hilarious  😅 ,baby bloody hilarious   😅  ,baby bloody hilarious   ,😅,😅,1
21265,not fault observant thought  😜  sorry  😝  wisdom laughter  😎 ,not fault observant thought   😜   sorry   😝   wisdom laughter   😎  ,not fault observant thought    sorry    wisdom laughter   ,😜 😝 😎,😜 😝 😎,1
21321,cheer cheer  ❤️ ,cheer cheer   ❤ ️ ,cheer cheer  ️ ,❤,❤,1
21323, ♥  princess fitness haircut,  ♥   princess fitness haircut,   princess fitness haircut,♥,♥,1
21325,who actually drink sparkling water  🤔 ,who actually drink sparkling water   🤔  ,who actually drink sparkling water   ,🤔,,1
21342,its exhilarating feeling working hard feeling accomplished notice feel good  🤑 ,its exhilarating feeling working hard feeling accomplished notice feel good   🤑  ,its exhilarating feeling working hard feeling accomplished notice feel good   ,🤑,,1
21353,miss caramel delight  💓 ,miss caramel delight   💓  ,miss caramel delight   ,💓,,1
21369,exhilarating looking forward seeing  👍🏼 ,exhilarating looking forward seeing   👍  🏼  ,exhilarating looking forward seeing   ,👍 🏼,,1
21404,my ukulele bag fallen apart  😐  at least life,my ukulele bag fallen apart   😐   at least life,my ukulele bag fallen apart    at least life,😐,😐,1
21438,definitely  😂  glee,definitely   😂   glee,definitely    glee,😂,😂,1
21463,what went  😂  levity,what went   😂   levity,what went    levity,😂,😂,1
21465,been waiting week game cheer  ❤️ ,been waiting week game cheer   ❤ ️ ,been waiting week game cheer  ️ ,❤,❤,1
21477,raising hope time totally forgot hilarious  😂 ,raising hope time totally forgot hilarious   😂  ,raising hope time totally forgot hilarious   ,😂,😂,1
21485,funny left phone happy  😊 ,funny left phone happy   😊  ,funny left phone happy   ,😊,😊,1
21496,thought day thought smile making smile  💚 ,thought day thought smile making smile   💚  ,thought day thought smile making smile   ,💚,,1
21506,u attitude tho  😕  cheer,u attitude tho   😕   cheer,u attitude tho    cheer,😕,😕,1
21525,but ill pity  🐑  lively,but ill pity   🐑   lively,but ill pity    lively,🐑,,1
21529,but ill pity  🐑 ,but ill pity   🐑  ,but ill pity   ,🐑,,1
21530,chirp chirp beautiful white red bird  🐦 ,chirp chirp beautiful white red bird   🐦  ,chirp chirp beautiful white red bird   ,🐦,,1
21560,it heart seeing people upset i try best smile cheer  🤗 ,it heart seeing people upset i try best smile cheer   🤗  ,it heart seeing people upset i try best smile cheer   ,🤗,,1
21597,got new break name animated series ill draw style  🖍 ,got new break name animated series ill draw style   🖍  ,got new break name animated series ill draw style   ,🖍,,1
21612,sick grumpy thing thats cheer food going  😢 ,sick grumpy thing thats cheer food going   😢  ,sick grumpy thing thats cheer food going   ,😢,😢,1
21643,thanks paper watch hilarious video  😂 ,thanks paper watch hilarious video   😂  ,thanks paper watch hilarious video   ,😂,😂,1
21660,bright  ✨ ,bright   ✨  ,bright   ,✨,,1
21667,job interview tomorrow  😎  bright,job interview tomorrow   😎   bright,job interview tomorrow    bright,😎,😎,1
21691,my ukulele bag fallen apart  😐  at least life optimism,my ukulele bag fallen apart   😐   at least life optimism,my ukulele bag fallen apart    at least life optimism,😐,😐,1
21695,had look phone cheerfully oh look getting death  🙄  then goes,had look phone cheerfully oh look getting death   🙄   then goes,had look phone cheerfully oh look getting death    then goes,🙄,,1
21703,crew what gorgeous bunch  ❤️  lively exciting  💪🏼 ,crew what gorgeous bunch   ❤ ️  lively exciting   💪  🏼  ,crew what gorgeous bunch  ️  lively exciting   ,❤ 💪 🏼,❤,1
21707,welcome good face twitter feed cheery hello  😀 ,welcome good face twitter feed cheery hello   😀  ,welcome good face twitter feed cheery hello   ,😀,😀,1
21713,wonder kelvin smiling  😍 ,wonder kelvin smiling   😍  ,wonder kelvin smiling   ,😍,😍,1
21740,north exhilarating hockey watched  😅  wow silky,north exhilarating hockey watched   😅   wow silky,north exhilarating hockey watched    wow silky,😅,😅,1
21756,like i said  ➡  theres plenty cheese for  ☺ ,like i said   ➡   theres plenty cheese for   ☺  ,like i said    theres plenty cheese for   ,➡ ☺,☺,1
21762,pencil today havent  ✏️  exhilarating,pencil today havent   ✏ ️  exhilarating,pencil today havent  ️  exhilarating,✏,,1
21809,what smiling like sent coupon  😬 ,what smiling like sent coupon   😬  ,what smiling like sent coupon   ,😬,😬,1
21812,i best world  😍  blessed,i best world   😍   blessed,i best world    blessed,😍,😍,1
21813,the golden temple beautiful  😍 ,the golden temple beautiful   😍  ,the golden temple beautiful   ,😍,😍,1
21816,marker n burst laughing swear seriously  🤦🏻‍♀️ ,marker n burst laughing swear seriously   🤦  🏻 ‍ ♀ ️ ,marker n burst laughing swear seriously  ‍️ ,🤦 🏻 ♀,,1
21818,three dumb fox original tweet blatant lie wretched offspring  🤣 ,three dumb fox original tweet blatant lie wretched offspring   🤣  ,three dumb fox original tweet blatant lie wretched offspring   ,🤣,,1
21821,night king  😂 ,night king   😂  ,night king   ,😂,😂,1
21829,that eclipse angelic  🙏🏿  blessing,that eclipse angelic   🙏  🏿   blessing,that eclipse angelic    blessing,🙏 🏿,,1
21831, 😭  good bye dear pleasure,  😭   good bye dear pleasure,   good bye dear pleasure,😭,😭,1
21837,birth control floor cause carpet  🙃  joy,birth control floor cause carpet   🙃   joy,birth control floor cause carpet    joy,🙃,,1
21852,better  😆 ,better   😆  ,better   ,😆,😆,1
21857,i came damn boy stayed great actual job  👍🏾 ,i came damn boy stayed great actual job   👍  🏾  ,i came damn boy stayed great actual job   ,👍 🏾,,1
21858,today  😀 ,today   😀  ,today   ,😀,😀,1
21860,when meet interview streets  🙆  i dont know whats  😂 ,when meet interview streets   🙆   i dont know whats   😂  ,when meet interview streets    i dont know whats   ,🙆 😂,😂,1
21866,seeing perfect  😊 ,seeing perfect   😊  ,seeing perfect   ,😊,😊,1
21873,list war for the planet the  😍  excited,list war for the planet the   😍   excited,list war for the planet the    excited,😍,😍,1
21874,got forward i want source teach  🤣 ,got forward i want source teach   🤣  ,got forward i want source teach   ,🤣,,1
21876,coffee good view better  😊 ,coffee good view better   😊  ,coffee good view better   ,😊,😊,1
21877,this great looking forward  😄 ,this great looking forward   😄  ,this great looking forward   ,😄,😄,1
21881, ♥  topping muffin food delicious happy dessert chocolate cake,  ♥   topping muffin food delicious happy dessert chocolate cake,   topping muffin food delicious happy dessert chocolate cake,♥,♥,1
21890,thanks early morning laughter  ❤ ,thanks early morning laughter   ❤  ,thanks early morning laughter   ,❤,❤,1
21894,energetic act blessing disguise  🙏  prolific  🙏 ,energetic act blessing disguise   🙏   prolific   🙏  ,energetic act blessing disguise    prolific   ,🙏 🙏,,1
21895,so lots pretty sugar i mean willing try sure i understand point  😅 ,so lots pretty sugar i mean willing try sure i understand point   😅  ,so lots pretty sugar i mean willing try sure i understand point   ,😅,😅,1
21900,i need study heart stopped i saw ford  😯  relieved,i need study heart stopped i saw ford   😯   relieved,i need study heart stopped i saw ford    relieved,😯,,1
21910,mood happy  🙂  blessing,mood happy   🙂   blessing,mood happy    blessing,🙂,,1
21911,maybe evening i  😀 ,maybe evening i   😀  ,maybe evening i   ,😀,😀,1
21914, 😃 ,  😃  ,  ,😃,😃,1
21917,no need thank telling like  😊  hope great day  😃 ,no need thank telling like   😊   hope great day   😃  ,no need thank telling like    hope great day   ,😊 😃,😊 😃,1
21919,i try  😂  excitement,i try   😂   excitement,i try    excitement,😂,😂,1
21922,only i talking catfish tinder glad i dont use seriously  🤣 ,only i talking catfish tinder glad i dont use seriously   🤣  ,only i talking catfish tinder glad i dont use seriously   ,🤣,,1
21932,i hope amazing day love u  😃 ,i hope amazing day love u   😃  ,i hope amazing day love u   ,😃,😃,1
21933,whats panic  😃 ,whats panic   😃  ,whats panic   ,😃,😃,1
21943,what dont want watch content cant vote  😆 ,what dont want watch content cant vote   😆  ,what dont want watch content cant vote   ,😆,😆,1
21945,hi hope friend love kat  😀 ,hi hope friend love kat   😀  ,hi hope friend love kat   ,😀,😀,1
21950,happy prime day  😆 ,happy prime day   😆  ,happy prime day   ,😆,😆,1
21953,bedtime after listen album transformer full days enjoyment  💿   🎶  x,bedtime after listen album transformer full days enjoyment   💿     🎶   x,bedtime after listen album transformer full days enjoyment       x,💿 🎶,,1
21954,no  😊 ,no   😊  ,no   ,😊,😊,1
21955, 🍕 ,  🍕  ,  ,🍕,,1
21964,grateful education school days exhausted breaking  😍 ,grateful education school days exhausted breaking   😍  ,grateful education school days exhausted breaking   ,😍,😍,1
21965,i happy hear you write thank  💞 ,i happy hear you write thank   💞  ,i happy hear you write thank   ,💞,,1
21967,the moon tonight  😮  beautiful,the moon tonight   😮   beautiful,the moon tonight    beautiful,😮,,1
21972,happy birthday good  😘  x,happy birthday good   😘   x,happy birthday good    x,😘,😘,1
21974,i happier life right  😊 ,i happier life right   😊  ,i happier life right   ,😊,😊,1
21978,till i feeling  😆 ,till i feeling   😆  ,till i feeling   ,😆,😆,1
21988,excited hope  😊 ,excited hope   😊  ,excited hope   ,😊,😊,1
21993,i force money  😀 ,i force money   😀  ,i force money   ,😀,😀,1
21994,damn tired hell i day week  😭  i bad good,damn tired hell i day week   😭   i bad good,damn tired hell i day week    i bad good,😭,😭,1
21997,wonderful wish cock tho  😍 ,wonderful wish cock tho   😍  ,wonderful wish cock tho   ,😍,😍,1
21999,my pleasure  😊 ,my pleasure   😊  ,my pleasure   ,😊,😊,1
22001,asleep i i got meeting let vent way home  😍  sweetness,asleep i i got meeting let vent way home   😍   sweetness,asleep i i got meeting let vent way home    sweetness,😍,😍,1
22002,never  😆 ,never   😆  ,never   ,😆,😆,1
22006,cant wait family excited start fun  👨‍👩‍👧 ,cant wait family excited start fun   👨 ‍ 👩 ‍ 👧  ,cant wait family excited start fun  ‍‍ ,👨 👩 👧,,1
22007,beautiful  😘 ,beautiful   😘  ,beautiful   ,😘,😘,1
22009,perfectly recall amazing fortunate experience live  😘 ,perfectly recall amazing fortunate experience live   😘  ,perfectly recall amazing fortunate experience live   ,😘,😘,1
22012,keep smiling  ❤️ ,keep smiling   ❤ ️ ,keep smiling  ️ ,❤,❤,1
22013,soon trailer  😆 ,soon trailer   😆  ,soon trailer   ,😆,😆,1
22017,funny  😂  that pizza segment plus i love friendship,funny   😂   that pizza segment plus i love friendship,funny    that pizza segment plus i love friendship,😂,😂,1
22020,hello welcome deeply sorry late greeting  😥  wishing pleasant,hello welcome deeply sorry late greeting   😥   wishing pleasant,hello welcome deeply sorry late greeting    wishing pleasant,😥,😥,1
22023, 😆 ,  😆  ,  ,😆,😆,1
22033,had delete  🤣 ,had delete   🤣  ,had delete   ,🤣,,1
22040, 🎉   🎂   🎈 ,  🎉     🎂     🎈  ,        ,🎉 🎂 🎈,,1
22041,because wrong want believe  🙃 ,because wrong want believe   🙃  ,because wrong want believe   ,🙃,,1
22044,eating skin sent tannery leather  😄 ,eating skin sent tannery leather   😄  ,eating skin sent tannery leather   ,😄,😄,1
22048,i curious falling hero  😆  watching soon,i curious falling hero   😆   watching soon,i curious falling hero    watching soon,😆,😆,1
22051, 😆 ,  😆  ,  ,😆,😆,1
22065,if i hit blessed  😂 ,if i hit blessed   😂  ,if i hit blessed   ,😂,😂,1
22066,wow i hope win  😭  thanks  😊 ,wow i hope win   😭   thanks   😊  ,wow i hope win    thanks   ,😭 😊,😭 😊,1
22073,day great  🙃  mocha machine wasnt working,day great   🙃   mocha machine wasnt working,day great    mocha machine wasnt working,🙃,,1
22077,follow love universal day  😘 ,follow love universal day   😘  ,follow love universal day   ,😘,😘,1
22078,will i not tired this second  🙃  grateful,will i not tired this second   🙃   grateful,will i not tired this second    grateful,🙃,,1
22080,happy birthday wishing u lots success  🌸   😍 ,happy birthday wishing u lots success   🌸     😍  ,happy birthday wishing u lots success      ,🌸 😍,😍,1
22081,but free planner i dont think  😤 ,but free planner i dont think   😤  ,but free planner i dont think   ,😤,😤,1
22086,well  😀 ,well   😀  ,well   ,😀,😀,1
22087,need help  😊  survey friend,need help   😊   survey friend,need help    survey friend,😊,😊,1
22088,dont creepy handsome adorable shark  😭  like shark,dont creepy handsome adorable shark   😭   like shark,dont creepy handsome adorable shark    like shark,😭,😭,1
22091, 😂  snowflake random funny man dull moment brilliant,  😂   snowflake random funny man dull moment brilliant,   snowflake random funny man dull moment brilliant,😂,😂,1
22092,experience let know i send magical delightful  😊 ,experience let know i send magical delightful   😊  ,experience let know i send magical delightful   ,😊,😊,1
22094,last making lose heartbreaking channel size nearly soon  😀 ,last making lose heartbreaking channel size nearly soon   😀  ,last making lose heartbreaking channel size nearly soon   ,😀,😀,1
22116,when sadness leaves broken bed i hold despair love  🎶 ,when sadness leaves broken bed i hold despair love   🎶  ,when sadness leaves broken bed i hold despair love   ,🎶,,2
22124,distant mourn  😪 ,distant mourn   😪  ,distant mourn   ,😪,😪,2
22125,being airport depressing watching cute people coming  ✈️ ,being airport depressing watching cute people coming   ✈ ️ ,being airport depressing watching cute people coming  ️ ,✈,,2
22132,i celebrate mourn cause test week busy  😕 ,i celebrate mourn cause test week busy   😕  ,i celebrate mourn cause test week busy   ,😕,😕,2
22157,please bear twitter real life person help gain  🤓 ,please bear twitter real life person help gain   🤓  ,please bear twitter real life person help gain   ,🤓,,2
22172,very depressing seeing fam holiday tomorrow  🙃 ,very depressing seeing fam holiday tomorrow   🙃  ,very depressing seeing fam holiday tomorrow   ,🙃,,2
22198,even stayed end  ⚫   😞 ,even stayed end   ⚫     😞  ,even stayed end      ,⚫ 😞,,2
22226,seeing hurt past single sign grieve  ✨ ,seeing hurt past single sign grieve   ✨  ,seeing hurt past single sign grieve   ,✨,,2
22229,ni like sadly thats shed  😢 ,ni like sadly thats shed   😢  ,ni like sadly thats shed   ,😢,😢,2
22251,seeing old wife mourn loss year old daughter seen  😢 ,seeing old wife mourn loss year old daughter seen   😢  ,seeing old wife mourn loss year old daughter seen   ,😢,😢,2
22273,gloomy day bed watching covering relaxed happy  😋 ,gloomy day bed watching covering relaxed happy   😋  ,gloomy day bed watching covering relaxed happy   ,😋,😋,2
22313,sam holding tee like got droop  😂 ,sam holding tee like got droop   😂  ,sam holding tee like got droop   ,😂,😂,2
22324,i feel like burden day i waste i dont know i i lay  🙃 ,i feel like burden day i waste i dont know i i lay   🙃  ,i feel like burden day i waste i dont know i i lay   ,🙃,,2
22328,opinion oligodendroglioma  ❤️ ,opinion oligodendroglioma   ❤ ️ ,opinion oligodendroglioma  ️ ,❤,❤,2
22331,point i thought twitter got dull  😂  lamination,point i thought twitter got dull   😂   lamination,point i thought twitter got dull    lamination,😂,😂,2
22335,yeah want obese  😅  i afford i dont think,yeah want obese   😅   i afford i dont think,yeah want obese    i afford i dont think,😅,😅,2
22374,when lose somebody close heart lose  💔 ,when lose somebody close heart lose   💔  ,when lose somebody close heart lose   ,💔,💔,2
22427,the weather sunny bright gloomy time match afternoon mood  😒 ,the weather sunny bright gloomy time match afternoon mood   😒  ,the weather sunny bright gloomy time match afternoon mood   ,😒,,2
22439,but when come situation i glad i gave deep thought  💯 ,but when come situation i glad i gave deep thought   💯  ,but when come situation i glad i gave deep thought   ,💯,,2
22442,he retired ago blues  😊 ,he retired ago blues   😊  ,he retired ago blues   ,😊,😊,2
22450,the depressing ill taste goes  😫 ,the depressing ill taste goes   😫  ,the depressing ill taste goes   ,😫,😫,2
22462,wow housing market depressing buy range  😢 ,wow housing market depressing buy range   😢  ,wow housing market depressing buy range   ,😢,😢,2
22504,like unhappy leave dont cheat view love  💯 ,like unhappy leave dont cheat view love   💯  ,like unhappy leave dont cheat view love   ,💯,,2
22518,back amazing days away  😭  depressing,back amazing days away   😭   depressing,back amazing days away    depressing,😭,😭,2
22520,understand pessimism  😂 ,understand pessimism   😂  ,understand pessimism   ,😂,😂,2
22581,dont quit place ultimate strength i start feel weary  💪🏾 ,dont quit place ultimate strength i start feel weary   💪  🏾  ,dont quit place ultimate strength i start feel weary   ,💪 🏾,,2
22586,what grim night  🔥 ,what grim night   🔥  ,what grim night   ,🔥,,2
22589,sure half slip sad  😂 ,sure half slip sad   😂  ,sure half slip sad   ,😂,😂,2
22598,cold dark nights slowly creeping  🌌 ,cold dark nights slowly creeping   🌌  ,cold dark nights slowly creeping   ,🌌,,2
22611,can i sulk peace  😂 ,can i sulk peace   😂  ,can i sulk peace   ,😂,😂,2
22626,if anybody needs ill blues sea whiskey  🍻 ,if anybody needs ill blues sea whiskey   🍻  ,if anybody needs ill blues sea whiskey   ,🍻,,2
22635,when doe run opposite  🙁  depression,when doe run opposite   🙁   depression,when doe run opposite    depression,🙁,,2
22652,anyway car furious white men i funny story tell sober  😂 ,anyway car furious white men i funny story tell sober   😂  ,anyway car furious white men i funny story tell sober   ,😂,😂,2
22683,distraught  😭  pout piss,distraught   😭   pout piss,distraught    pout piss,😭,😭,2
22717,this hurting heart  😪  thats,this hurting heart   😪   thats,this hurting heart    thats,😪,😪,2
22730,way hold  😊  depressing,way hold   😊   depressing,way hold    depressing,😊,😊,2
22737,thought i pretty solid kin major i look average i feel  😪 ,thought i pretty solid kin major i look average i feel   😪  ,thought i pretty solid kin major i look average i feel   ,😪,😪,2
22766,depressing hey  😑 ,depressing hey   😑  ,depressing hey   ,😑,😑,2
22768,well stomach spin class easier why body hate porridge  😩  spinning sulk,well stomach spin class easier why body hate porridge   😩   spinning sulk,well stomach spin class easier why body hate porridge    spinning sulk,😩,😩,2
22821,blues blues  🤔 ,blues blues   🤔  ,blues blues   ,🤔,,2
22876,oh goodness loving rainy day its head creative cap lost kind day  💭   ☺️  art create biz,oh goodness loving rainy day its head creative cap lost kind day   💭     ☺ ️  art create biz,oh goodness loving rainy day its head creative cap lost kind day     ️  art create biz,💭 ☺,☺,2
22881,age times beautiful sad  😂 ,age times beautiful sad   😂  ,age times beautiful sad   ,😂,😂,2
22882, 🤓  dont sad good night sleep,  🤓   dont sad good night sleep,   dont sad good night sleep,🤓,,2
22909,red look super pretty bronzy nude lip look black pretty dark lip  😍 ,red look super pretty bronzy nude lip look black pretty dark lip   😍  ,red look super pretty bronzy nude lip look black pretty dark lip   ,😍,😍,2
22918,totally when youve said times week lost but linear  😘 ,totally when youve said times week lost but linear   😘  ,totally when youve said times week lost but linear   ,😘,😘,2
22925,my cell wont hold charge  😢  sadness so i,my cell wont hold charge   😢   sadness so i,my cell wont hold charge    sadness so i,😢,😢,2
22939,stop mournful chill  💁 ,stop mournful chill   💁  ,stop mournful chill   ,💁,,2
22943,i thats i didnt like  😂  comes patchy its dark color i tho,i thats i didnt like   😂   comes patchy its dark color i tho,i thats i didnt like    comes patchy its dark color i tho,😂,😂,2
22955,honestly depression kicking ass lately  😔 ,honestly depression kicking ass lately   😔  ,honestly depression kicking ass lately   ,😔,😔,2
22959,turn frown upside buddy  🙃 ,turn frown upside buddy   🙃  ,turn frown upside buddy   ,🙃,,2
22961,blues rock soul passion  🎶 ,blues rock soul passion   🎶  ,blues rock soul passion   ,🎶,,2
23011,song ni sober  😂 ,song ni sober   😂  ,song ni sober   ,😂,😂,2
23028,very long day thank goodness bake off brighten weary  ☺ ,very long day thank goodness bake off brighten weary   ☺  ,very long day thank goodness bake off brighten weary   ,☺,☺,2
23050,well hear men look like dad  👌 ,well hear men look like dad   👌  ,well hear men look like dad   ,👌,,2
23066,should stayed  😞 ,should stayed   😞  ,should stayed   ,😞,,2
23068,sunk seeing  🐐  wow,sunk seeing   🐐   wow,sunk seeing    wow,🐐,,2
23091,as i lost heart dark underneath  🎧 ,as i lost heart dark underneath   🎧  ,as i lost heart dark underneath   ,🎧,,2
23149,its begun ladies the war racism begun sadness segregation  😒 ,its begun ladies the war racism begun sadness segregation   😒  ,its begun ladies the war racism begun sadness segregation   ,😒,,2
23152,she pout  😍 ,she pout   😍  ,she pout   ,😍,😍,2
23180,i love big family theres dull moment house  😂 ,i love big family theres dull moment house   😂  ,i love big family theres dull moment house   ,😂,😂,2
23197,depress  😭 ,depress   😭  ,depress   ,😭,😭,2
23200,who need  🚨 ,who need   🚨  ,who need   ,🚨,,2
23214,well hear men look like dad  👌 ,well hear men look like dad   👌  ,well hear men look like dad   ,👌,,2
23246, 😭  so got taking sweet time the market stupid tho,  😭   so got taking sweet time the market stupid tho,   so got taking sweet time the market stupid tho,😭,😭,2
23247,hard dont sinking i despair  😩 ,hard dont sinking i despair   😩  ,hard dont sinking i despair   ,😩,😩,2
23302,henny pine  🤔 ,henny pine   🤔  ,henny pine   ,🤔,,2
23310,dad i function today little know i stayed sober night faced tonight  😅 ,dad i function today little know i stayed sober night faced tonight   😅  ,dad i function today little know i stayed sober night faced tonight   ,😅,😅,2
23318,fashion week year dull someone inspire  😩 ,fashion week year dull someone inspire   😩  ,fashion week year dull someone inspire   ,😩,😩,2
23319,oh sorry  😂 ,oh sorry   😂  ,oh sorry   ,😂,😂,2
23385,when lose somebody close heart lose  💔  lost,when lose somebody close heart lose   💔   lost,when lose somebody close heart lose    lost,💔,💔,2
23420,twitter depressing like negative think i  😕 ,twitter depressing like negative think i   😕  ,twitter depressing like negative think i   ,😕,😕,2
23425,keeping dismal season  💕 ,keeping dismal season   💕  ,keeping dismal season   ,💕,💕,2
23429,some sedate  💕 ,some sedate   💕  ,some sedate   ,💕,💕,2
23446,nothing possibly damper day ass breath  😿 ,nothing possibly damper day ass breath   😿  ,nothing possibly damper day ass breath   ,😿,😿,2
23491,confused type entire word  😜  see i laugh my hour sadness,confused type entire word   😜   see i laugh my hour sadness,confused type entire word    see i laugh my hour sadness,😜,😜,2
23495,those times i thought i sober but his grace  🙏🏾 ,those times i thought i sober but his grace   🙏  🏾  ,those times i thought i sober but his grace   ,🙏 🏾,,2
23513,senior year early dismal work study boss know  🙃 ,senior year early dismal work study boss know   🙃  ,senior year early dismal work study boss know   ,🙃,,2
23535,when doe run opposite  🙁 ,when doe run opposite   🙁  ,when doe run opposite   ,🙁,,2
23557,a tummy steak wine key lime pine tap what way turn stressful  💛 ,a tummy steak wine key lime pine tap what way turn stressful   💛  ,a tummy steak wine key lime pine tap what way turn stressful   ,💛,,2
23585,blues home away semi i love away days being home  ⚽ ,blues home away semi i love away days being home   ⚽  ,blues home away semi i love away days being home   ,⚽,,2
23586,i i dont  😈  dark,i i dont   😈   dark,i i dont    dark,😈,,2
23594,doesnt chip doesnt dull gone looking perfect time gone grown  😂 ,doesnt chip doesnt dull gone looking perfect time gone grown   😂  ,doesnt chip doesnt dull gone looking perfect time gone grown   ,😂,😂,2
23595,i miss social media place jump depressing  😞 ,i miss social media place jump depressing   😞  ,i miss social media place jump depressing   ,😞,,2
23607,dont early overwhelming reading use cue  😊  better,dont early overwhelming reading use cue   😊   better,dont early overwhelming reading use cue    better,😊,😊,2
23645,terrific hope  😴  it crushing defeat he dejected,terrific hope   😴   it crushing defeat he dejected,terrific hope    it crushing defeat he dejected,😴,,0
23647,phone alway  😒  startle know mean,phone alway   😒   startle know mean,phone alway    startle know mean,😒,,0
23649,poor it summer i saw skin  😰 ,poor it summer i saw skin   😰  ,poor it summer i saw skin   ,😰,😰,0
23655,best great watch u big sir tremendous boom boom  😍 ,best great watch u big sir tremendous boom boom   😍  ,best great watch u big sir tremendous boom boom   ,😍,😍,0
23656, ☹ ,  ☹  ,  ,☹,☹,0
23659,offense love k culture u love want  💖  personally want know,offense love k culture u love want   💖   personally want know,offense love k culture u love want    personally want know,💖,💖,0
23690,i wished  😭 ,i wished   😭  ,i wished   ,😭,😭,0
23694,awe thanks  😊 ,awe thanks   😊  ,awe thanks   ,😊,😊,0
23695,dull moment u  💕 ,dull moment u   💕  ,dull moment u   ,💕,💕,0
23705,dear god  😱 ,dear god   😱  ,dear god   ,😱,😱,0
23716,man i hate i aint watch  😤 ,man i hate i aint watch   😤  ,man i hate i aint watch   ,😤,😤,0
23746,mean overprice threat look  😂 ,mean overprice threat look   😂  ,mean overprice threat look   ,😂,😂,0
23747,point sa di jud di jud  ☹  ga ta  😭 ,point sa di jud di jud   ☹   ga ta   😭  ,point sa di jud di jud    ga ta   ,☹ 😭,☹ 😭,0
23748,strapless wedding look awful people hough great  👌🏼 ,strapless wedding look awful people hough great   👌  🏼  ,strapless wedding look awful people hough great   ,👌 🏼,,0
23749,bully  😩 ,bully   😩  ,bully   ,😩,😩,0
